TaxId	GenomeSize(Mb)
29292	1.76856
1006005	1.84035
73913	1.76174
1582439	1.71308
2285	2.22064
2287	2.67472
69527	3.84695
1604004	2.23162
1673428	1.90881
2190	1.45517
2598455	1.98474
1846278	1.69721
2663020	1.95788
1712654	1.9288
1333523	1.8954
2055893	3.31312
54077	1.92242
2210	3.13023
1550241	1.61199
1104324	2.46797
1365176	1.75222
1535962	1.88914
2257	2.7497
2247	3.63375
43687	2.19153
2599399	2.52337
498846	1.68016
1407499	3.23524
2242	2.42968
51589	3.89689
54259	1.39466
39664	2.08206
2226	2.50045
2238	4.22978
294671	2.20119
337243	3.5686
971279	1.85937
2045011	1.61739
1175444	2.3612
84599	1.58035
660522	3.5052
1183377	1.7991
43080	2.64525
2058097	1.57728
1911685	2.11309
97393	1.93521
1042877	1.98474
1291540	1.6668
229731	4.36006
187880	1.86899
2607662	1.50411
2315	3.20095
1301915	1.60756
54248	1.66716
1434102	3.27212
1789762	1.85605
111955	2.6021
13769	4.42997
338192	1.64526
2162	2.45173
2209	4.07842
145262	1.55455
353800	4.13118
699433	3.74293
882104	2.82086
1920749	0.952257
2044521	3.82137
57705	3.31636
2508726	1.27962
39152	1.77269
2606912	1.61994
2208	4.56045
41673	2.94724
2223	2.61488
2261	1.90826
72803	2.02917
71998	1.78567
683846	1.1745
67760	1.32819
2320	1.56052
38027	5.01756
1937004	1.42597
146826	3.1168
145261	1.55138
263906	2.052856
50339	1.5848
170861	4.13981
2234	1.92759
644281	1.77314
1495144	1.93788
172049	1.86808
2203	2.59357
163003	1.95031
59277	2.4396
293091	3.17936
406552	3.79361
2188	1.87803
44930	3.70939
2201	2.01381
1679096	2.72312
358766	2.54294
1459637	2.95437
35746	3.98788
88724	4.43264
1580092	1.80309
1229909	1.69091
2016361	1.98474
94694	1.36522
2572921	3.0517
1547898	3.65149
60847	3.94447
2187	1.72005
55802	2.22638
54254	1.30511
751944	2.98309
756883	3.64316
1873524	2.02912
1200300	1.35632
54262	1.96582
76887	2.07757
2177	2.02296
114529	3.66966
2610902	3.32903
1294262	2.54011
56636	1.63538
1048396	3.26521
1577685	1.539049
2277	1.8264
755307	4.97312
49899	2.04314
1054217	1.46111
200415	1.54685
2008440	1.98474
2650975	3.93395
74969	1.82694
1434099	3.27212
164451	2.39501
634157	3.50679
413810	3.6375
2603820	1.61994
1547899	3.65149
312539	2.26531
2275	1.25639
2303	1.56491
2264	1.87848
2322	2.40623
113653	1.36128
1175445	3.17992
1434100	3.27212
1078905	1.8053
1603555	1.62016
2505977	3.93395
2176	2.01242
101192	2.71401
121277	2.09485
2252	3.90571
1008460	1.71682
2280	0.967595
